name,lat,lon
P-AB46260C_-258_411.6_N231_GW.21,5338.133845,5135.641785
P-AB46719A_-107_375.7_N228_GW.21,5456.469,4830.144
P-AB46719C_-107_358.7_N228_GW.21,5456.469,4830.144
P-AB46719D_-107_367.7_N228_GW.21,5456.469,4830.144
P-AB46763B_-225_376.4_N244_GW.21,5332.127,4807.448
P-GH55410D_-431_402.8_N235_GW.22,2752.753,2929.304
P-GH55410C_-431_383.8_N235_GW.22,2752.753,2929.304
P-EF62649C_-065_329.6_N282_GW.22,1251.016,2477.612
P-EF62643M_-287_354.5_N179_GW.21,1410.64,2633.31
P-EF62643L_-287_384.5_N179_GW.21,1410.64,2633.31
P-EF62643K_-287_347.5_N179_GW.21,1410.64,2633.31
P-EF62643J_-287_370.5_N179_GW.21,1410.64,2633.31
P-EF62643I_-431_341.9_N178_GW.21,1512.348,2734.793
P-EF62643H_-431_371.9_N178_GW.21,1512.348,2734.793
P-EF62643G_-431_356.4_N178_GW.21,1512.348,2734.793
P-EF62640C_-642_395.6_N050_GW.21,1652.75,2892.099
P-EF62640B_-436_397.0_N049_GW.21,1515.12,2738.516
P-EF62640A_-286_396.5_N048_GW.21,1412.759,2628.767
P-EF62649A_+112_326.4_N278_GW.22,1134.701,2344.935
P-EF62649B_+112_334.4_N278_GW.22,1134.701,2344.935
VST-15_+000_352.8_N143_GW.22,1457.25,2195.63
P-GH56509D_-331_341.0_N134_GW.22,1789.341,2347.181
P-GH56509B_-331_370.5_N134_GW.22,1789.341,2347.181
P-EF62649G_-065_367.6_N282_GW.22,1251.016,2477.612
P-GH56509A_-331_381.9_N134_GW.22,1789.341,2347.181
P-GH56260A_-596_395.2_N045_GW.23,2074.733,2812.755
P-GH55960Z_-160_363.5_N214_GW.21,2448.046,2466.26
P-GH55960X_-160_380.4_N215_GW.21,2449.367,2466.531
P-GH55960Y_-160_373.5_N213_GW.21,2448.923,2466.398
P-GH55960W_-160_385.4_N217_GW.21,2450.403,2466.803
